event_time,event_type,user_id,session_id,product_id,category,brand,price,device,country
08/12/2024 22:53,checkout,1774,S394079,59,audio,Philips,444.71,desktop,USA
11/11/2024 07:22,cart,1466,S666806,123,networking,Xiaomi,148.92,desktop,India
20/10/2024 01:36,checkout,3788,S167583,129,cameras,HP,1239.97,mobile,UK
27/10/2024 13:54,purchase,3217,S913271,25,monitors,Xiaomi,224.32,mobile,USA
18/11/2024 12:41,purchase,3743,S281386,1804,appliances,Nikon,1038.37,mobile,Germany
24/10/2024 07:28,view,724,S970535,1398,tablets,LG,438.46,desktop,Germany
14/11/2024 08:06,view,4954,S570371,1088,gaming,Panasonic,695.94,tablet,France
15/12/2024 01:56,view,2478,S666963,1995,smartphones,Dell,974.34,tablet,Germany
21/10/2024 12:00,view,1754,S414520,253,laptops,Dell,811.63,tablet,USA
04/12/2024 07:26,view,867,S553546,1442,monitors,Nikon,259.6,tablet,India
01/10/2024 17:54,view,4028,S896937,1615,networking,Razer,216.95,tablet,UK
03/10/2024 11:31,view,58,S874333,1357,audio,Lenovo,440.24,mobile,France
24/12/2024 16:35,checkout,3339,S684451,229,audio,Apple,403.31,tablet,Germany
29/10/2024 05:28,cart,4150,S263063,1291,tablets,Razer,870.6,desktop,Germany
13/12/2024 02:04,cart,3837,S806652,1912,appliances,Panasonic,1251.92,desktop,USA
28/12/2024 19:48,view,3784,S454821,1245,laptops,JBL,943.36,tablet,France
14/11/2024 14:28,view,1106,S976388,416,monitors,Asus,781.8,mobile,France
22/10/2024 23:27,view,2273,S289308,1578,tablets,Microsoft,353.61,mobile,India
28/12/2024 05:27,view,4443,S399415,426,tablets,Huawei,845.6,desktop,UK
24/11/2024 02:36,view,3801,S999942,1796,gaming,Bose,113.35,tablet,India
11/11/2024 16:45,view,4921,S799944,1785,gaming,Canon,188.57,desktop,UK
12/10/2024 04:55,cart,3865,S476766,634,smart_home,Sony,317.09,desktop,France
29/11/2024 15:59,checkout,2488,S184678,849,networking,Lenovo,100.38,mobile,India
04/10/2024 12:51,view,2795,S905782,1783,tablets,LG,508.72,tablet,USA
29/11/2024 10:28,view,4466,S714580,286,gaming,HP,649.23,desktop,India
03/10/2024 00:35,purchase,3399,S338485,1235,networking,Asus,222.83,desktop,India
28/10/2024 02:24,view,1051,S838007,1539,laptops,Philips,605.97,desktop,France
15/10/2024 11:17,view,1387,S882103,1019,cameras,LG,2120.85,tablet,Germany
06/12/2024 12:56,view,2464,S933086,886,laptops,Nikon,1879,tablet,USA
23/11/2024 12:39,purchase,4178,S890144,1334,audio,Dell,241.57,desktop,UK
06/12/2024 15:08,view,1103,S219918,902,laptops,GoPro,1660.37,tablet,UK
04/10/2024 23:50,cart,2577,S885614,110,tablets,Xiaomi,805.35,mobile,Germany
